date,theta_14,theta_10,theta_6,WS_1_3_1,theta_30,theta_11,theta_39,theta_15,g_3,WD_1_1_1,es,theta_4,sw_out,WD_1_3_1,theta_16,theta_17,theta_7,theta_8,SW_IN_1_1_3,lw_in,theta_32,theta_20,sw_in,theta_22,g_2,WS_1_6_1,theta_5,theta_27,theta_13,lw_out,wd,ws,theta_12,theta_21,SW_IN_1_1_1,theta_28,t_avg,theta_mean,t_dew,theta_19,theta_2,rh,WS_1_2_1,WD_1_4_1,theta_3,WD_1_6_1,theta_34,theta_36,theta_38,G,theta_24,WS_1_5_1,WS_1_1_1,WS_1_4_1,theta_25,Rn,theta_23,theta_40,H,WD_1_5_1,vp,theta_1,theta_26,SW_IN_1_1_2,LE,g_1,vpd,theta_29,theta_18,theta_37,theta_33,theta_31,theta_35,theta_9,WD_1_2_1,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9890144984885,,,0.9371086975266656,1.0671120678308983,,,1.0671120678308983,,,,,1.0,0.6,0.0,,,,False,
2017-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.47250205855573,,,0.8988406639290253,1.1125442362929885,,,1.1125442362929885,,,,,1.1,0.7,1.5,,,,False,
2017-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.99552331147937,,,0.8635754544683562,1.1579764047550785,,,1.1579764047550785,,,,,0.3,0.2,0.0,,,,False,
2017-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.55805538692785,,,0.8576131938863196,1.1660268371903737,,,1.1660268371903737,,,,,0.0,0.0,0.0,,,,False,
2017-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.16007041745551,,,0.8517326975581683,1.1740772696256692,,,1.1740772696256692,,,,,0.0,0.0,0.0,,,,False,
2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.80153503017546,,,0.8733804240569192,1.1449764300359782,,,1.1449764300359782,,,,,0.1,0.1,0.0,,,,False,
2017-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.48240981755433,,,0.8961572495730071,1.1158755904462871,,,1.1158755904462871,,,,,0.2,0.1,0.8,,,,False,
2017-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.20264878998788,,,0.9201538766076408,1.086774750856596,,,1.086774750856596,,,,,0.5,0.3,2.6000001,,,,False,
2017-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.96219881287979,,,0.9452650195779696,1.0579043752687132,,,1.0579043752687132,,,,,0.90000004,0.6,1.1,,,,False,
2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.76099903099293,,,0.9717851891289928,1.0290339996808304,,,1.0290339996808304,,,,,0.3,0.2,12.6,,,,False,
2017-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.59898028287031,,,0.999836402675516,1.0001636240929477,,,1.0001636240929477,,,,,0.4,0.3,3.5,,,,False,
2017-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.47606450813515,,,1.0295551848415692,0.9712932485050648,,,0.9712932485050648,,,,,0.6,0.4,0.0,,,,False,
2017-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.39216415047696,,,1.0610947895445206,0.9424228729171824,,,0.9424228729171824,,,,,0.3,0.2,0.0,,,,False,
2017-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.34718155911206,,,1.0946278434172343,0.9135524973292996,,,0.9135524973292996,,,,,0.8,0.5,0.0,,,,False,
2017-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.34100839147159,,,1.122657852637583,0.8907433352473245,,,0.8907433352473245,,,,,1.1,0.7,0.0,,,,False,
2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.37352501982916,,,1.15216110958393,0.8679341731653495,,,0.8679341731653495,,,,,0.7,0.4,0.5,,,,False,
2017-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.44459994451351,,,1.1751492219873227,0.8509557605874736,,,0.8509557605874736,,,,,0.90000004,0.5,0.0,,,,False,
2017-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.55408921628909,,,1.1990733350092044,0.8339773480095976,,,0.8339773480095976,,,,,2.4,1.4,0.0,,,,False,
2017-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.70183587040026,,,1.2239918029655399,0.8169989354317218,,,0.8169989354317218,,,,,1.8000001,1.1,0.0,,,,False,
2017-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.88766937468769,,,1.235227970387561,0.8095671600492039,,,0.8095671600492039,,,,,0.90000004,0.6,6.5,,,,False,
2017-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.11140509408564,,,1.246672343740992,0.8021353846666862,,,0.8021353846666862,,,,,1.0,0.7,10.0,,,,False,
2017-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.37284377370155,,,1.2583307642213342,0.7947036092841683,,,0.7947036092841683,,,,,0.8,0.6,0.4,,,,False,
2017-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.6717710425686,,,1.2702092935855298,0.7872718339016505,,,0.7872718339016505,,,,,0.7,0.5,0.0,,,,False,
2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.00795694004124,,,1.2530408875022931,0.7980585549712718,,,0.7980585549712718,,,,,0.90000004,0.6,0.4,,,,False,
2017-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.3811554666842,,,1.2363303954679246,0.8088452760408931,,,0.8088452760408931,,,,,0.7,0.5,2.3,,,,False,
2017-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.79110416137628,,,1.188260394278139,0.8415663812539121,,,0.8415663812539121,,,,,0.6,0.4,0.7,,,,False,
2017-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.23752370622394,,,1.14378853120852,0.8742874864669313,,,0.8742874864669313,,,,,1.2,0.7,0.0,,,,False,
2017-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.72011756074824,,,1.1053715006690374,0.9046732246984291,,,0.9046732246984291,,,,,1.0,0.6,0.4,,,,False,
2017-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.23857162667684,,,1.0694512748870788,0.9350589629299269,,,0.9350589629299269,,,,,0.3,0.2,1.5,,,,False,
2017-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.79255394454113,,,1.039503902310651,0.9619973506373184,,,0.9619973506373184,,,,,0.2,0.2,2.2,,,,False,
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.38171442314713,,,1.0111880491585932,0.9889357383447098,,,0.9889357383447098,,,,,1.8000001,1.1,1.3000001,,,,False,
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.00568460285672,,,0.9843739242441468,1.0158741260521014,,,1.0158741260521014,,,,,0.1,0.1,0.0,,,,False,
2017-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.66407745348741,,,0.9621257623135564,1.0393651632353864,,,1.0393651632353864,,,,,1.0,0.7,0.0,,,,False,
2017-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.35648720750945,,,0.9408610493179492,1.0628562004186717,,,1.0628562004186717,,,,,1.7,1.1,0.0,,,,False,
2017-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.08248922909507,,,0.9474280167162532,1.0554891583911137,,,1.0554891583911137,,,,,0.1,0.1,1.8000001,,,,False,
