date,rh,es,H,sw_out,sw_in,vpd,t_dew,vp,Rn,ws,t_avg,G,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2005-01-01,66.76749999999998,1.2727758873206707,,,103.08335416666672,0.048016666666666666,9.114321065984276,1.224759220654004,9.392104166666677,2.077895833333334,9.8418125,0.08483333333333326,,213.54864583333332,2.6660000000000004,17.62,0,0,48,0.0,48,0.652948695957085,120.38117478136348,,9.30727083333334,0.8823104672018844,1.133387891420296,,,1.133387891420296,,,,,3.6000001000000004,2.2,0.0,,,,False,
2005-01-02,76.68729166666667,0.8815178228845156,,,57.82343750000001,0.021127083333333328,4.255926830182321,0.8603907395511822,11.949874999999995,1.6754583333333335,4.768041666666667,-2.6689583333333347,,109.51960416666668,-0.67,8.84,0,0,48,0.0,48,0.31688812928646704,120.86396809672729,,14.618833333333333,0.8718807626737634,1.1469458242585124,,,1.1469458242585124,,,,,2.0,1.3000001,0.0,,,,False,
2005-01-03,82.95377083333331,1.3330533606758923,,,60.74666666666666,0.025183333333333332,10.507781600745114,1.3078700273425592,23.976937499999995,1.320125,10.991479166666664,2.7217708333333333,,212.75458333333327,7.24,16.101,0,0,30,1.524,48,0.5728072803386078,121.38561472336878,,21.25516666666666,0.8568426575809082,1.1670754147829925,,,1.1670754147829925,,,,,2.2,1.4,2.2,,,,False,
2005-01-04,93.75416666666666,1.1595263982690904,-4.1549513888888905,,15.261166666666668,0.007214583333333334,8.619722741231419,1.1523118149357576,-4.05175,1.3417916666666672,8.913312500000002,2.1303125,,163.9393125,5.501,13.2,0,0,7,1.778,48,0.20262193079672858,121.94600988043396,,-6.182062500000002,0.8430470919286931,1.1861733580175642,,,1.1861733580175642,,-3.5028196855078635,,,1.8000001,1.2,0.8,,,,False,
2005-01-05,95.28541666666666,0.8047936792623748,,,10.352312500000002,0.003833333333333332,3.539331381156385,0.8009603459290416,0.11800000000000048,1.8012291666666664,3.770354166666667,-2.497979166666666,,78.52660416666669,1.672,5.995,0,0,33,19.050000000000004,48,0.07273871022012846,122.54503866253565,,2.615979166666667,0.8386232558046869,1.1924305617311637,,,1.1924305617311637,,,,,2.1000001,1.3000001,17.300001,,,,False,
2005-01-06,96.60416666666664,0.9054086944523386,,,12.208354166666668,0.003135416666666668,5.275687722317007,0.9022732777856718,6.230500000000003,1.9022083333333328,5.496208333333335,-1.2162291666666665,,161.44943750000004,2.694,6.877000000000002,0,0,14,4.064,48,0.07453413019972543,123.18257576141195,,7.4467291666666675,0.8293118967752893,1.2058189492860494,,,1.2058189492860494,,,,,2.2,1.4,3.5,,,,False,
2005-01-07,71.40647916666667,0.7568632682954815,,,99.71035416666665,0.022520833333333337,2.351748629368449,0.7343424349621482,25.529625,1.8212916666666663,2.924083333333334,-3.637020833333333,,272.80272916666667,1.2819999999999998,5.782,0,0,28,0.0,48,0.40799891159617807,123.85848517776401,,29.16664583333333,0.8168268749192924,1.2242496307418953,,,1.2242496307418953,,,,,3.0,1.8000001,0.5,,,,False,
2005-01-08,86.83541666666667,0.8231159953457419,,,13.095395833333335,0.01065833333333333,3.7388756932172833,0.8124576620124091,-9.6573125,2.1039375000000007,4.0925,-2.3584791666666667,,202.81229166666665,1.3769999999999998,6.041,0,0,48,8.382,48,0.07780797779404316,124.57261992494215,,-7.298833333333333,0.8047769801460645,1.2425802733802145,,,1.2425802733802145,,,,,2.7,1.7,12.0,,,,False,
2005-01-09,79.75624999999998,0.6912162528673697,,,19.125833333333325,0.014225,1.2566645528641764,0.6769912528673697,-1.9865208333333328,1.0392083333333335,1.6998125,-4.064479166666668,,166.30274999999997,-0.014,3.577,0,0,48,0.0,48,0.16839642516254014,125.32482172620249,,2.077958333333336,0.7846425963859465,1.2744656033281738,,,1.2744656033281738,,,,,1.7,1.1,0.0,,,,False,
2005-01-10,78.65541666666665,0.8213846040602714,,,55.04356250000002,0.018554166666666674,3.5066596434320707,0.8028304373936049,1.714937500000002,1.90825,3.981291666666667,-3.1223124999999987,,238.68127083333331,1.231,8.76,0,0,48,0.0,48,0.5138556163035655,126.11492070729216,,4.837250000000001,0.7615134112870454,1.313174509047562,,,1.313174509047562,,,,,2.6000001,1.6,0.0,,,,False,
